时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s)
8.8,0.6365944478401429,0.6893311782485699,-0.222620519,-0.261390649
9,0.5623952307818096,0.6051614568503312,-0.50944662,-0.568418854
9.200000000000001,0.4377569309908141,0.4674071324596444,-0.722560351,-0.794078725
9.4,0.27962881176373194,0.29402201766243363,-0.84233793,-0.92253361
9.600000000000001,0.1073809511581776,0.10551002105329715,-0.864134535,-0.944693729
9.8,-0.059979765,-0.076977802,-0.795533838,-0.864231794
10,-0.205876793,-0.234571506,-0.652821161,-0.699934813
10.200000000000001,-0.317688541,-0.353266392,-0.458964344,-0.480440565
10.4,-0.387873248,-0.425169154,-0.241301866,-0.237173127
10.600000000000001,-0.414455771,-0.448635593,-0.027131776,-0.001479723
10.8,-0.40052351,-0.428183918,0.16019234525618237,0.19836164600776982
11,-0.353458632,-0.372756393,0.3016323094445932,0.3464566321043762
11.200000000000001,-0.283633565,-0.293600873,0.3869921698415326,0.4347242155232809
11.4,-0.202406417,-0.203027845,0.41644396421656915,0.4608786465800292
11.600000000000001,-0.120258877,-0.112985628,0.39800411513132533,0.4313190877535608
11.8,-0.045552952,-0.033189033,0.3444319792855475,0.3615882303595989
12,0.016201406054740762,0.030324404691004562,0.27120397490908726,0.2719352040315246
12.200000000000001,0.06269981190069304,0.07557785378105607,0.19442051897241086,0.1821861029200959
12.4,0.094664514579655,0.10432711042911057,0.1279685516819381,0.10902464250251838
12.600000000000001,0.11528892028781704,0.12087665489820444,0.08231830123943999,0.061015946893588975
12.8,0.12927071637472587,0.13060050855658542,0.061592772167969975,0.04088511647106308
13,0.14138561406063424,0.13899582164235189,0.0625814800689194,0.04702242807090162
13.200000000000001,0.15518656780836662,0.15066927453087714,0.07673391844073912,0.07183832149586959
13.4,0.1722090353764596,0.16807618226730106,0.09284093681009212,0.10166699598781412
13.600000000000001,0.19169603995565426,0.1904842549491504,0.09952110328483772,0.1189293971323319
13.8,0.21064057304907566,0.21388689144413875,0.08561970131202928,0.11004273123910455
14,0.22397040833800624,0.23233166577467987,0.04234286701088035,0.06872728633208203
14.200000000000001,0.22544039010011077,0.23906467156984812,-0.032727112,-0.007155502
14.4,0.20909231753113278,0.227295701569928,-0.134407928,-0.115377905
14.600000000000001,0.1706369394938481,0.19138879020423583,-0.251562285,-0.246195995
14.8,0.1084397182597607,0.12846595827343713,-0.369102242,-0.382007762
15,0.024076467442351465,0.039861825256254514,-0.470330704,-0.498898394
15.200000000000001,-0.077376598,-0.068435083,-0.536852688,-0.57615255
15.4,-0.187190478,-0.187006422,-0.551505149,-0.599580699
15.600000000000001,-0.293805226,-0.303921911,-0.503864196,-0.557980451
15.8,-0.384461212,-0.405431171,-0.392365953,-0.445239921
16,-0.446913053,-0.477536494,-0.223534125,-0.265683867
16.2,-0.470965036,-0.508289359,-0.011293692,-0.035165036
16.400000000000002,-0.449917789,-0.489787201,0.2234486283470445,0.22247487038026703
16.6,-0.381812903,-0.419371377,0.45486561345600385,0.47861593803587965
16.8,-0.269950904,-0.300677463,0.6565319015427211,0.7000661591612751
17,-0.122969543,-0.143430705,0.8018276909722998,0.8604403650092549
17.2,0.045554630131552476,0.03809829891800976,0.8690901495461418,0.9399393926603249
17.400000000000002,0.21865453879297042,0.22614362533599897,0.8465353762886936,0.923741192533441
17.6,0.3780867902529822,0.40083309766992714,0.7330774317237123,0.8065983862322568
17.8,0.506390597950431,0.54258395737742,0.5375125362438804,0.5968910732133308
18,0.5888111701096812,0.6347829032422458,0.2780207181046518,0.31535766834570544
18.2,0.6150865239353132,0.6658653257188415,-0.018966777,-0.008956802
18.400000000000002,0.5808504608571265,0.6305774752457913,-0.321629734,-0.342275489
18.6,0.4881404716812384,0.5310630123616262,-0.59863439,-0.644429574
18.8,0.345162755025376,0.37713861078327415,-0.819278536,-0.881989629
19,0.16598629915194665,0.18405305088839125,-0.956955074,-1.032894296
19.200000000000003,-0.031014049,-0.029120469,-0.995983909,-1.080576648
19.400000000000002,-0.225595798,-0.240702638,-0.933191248,-1.016635168
19.6,-0.397982471,-0.428677174,-0.776088693,-0.846722086
19.8,-0.530849842,-0.57361975,-0.541549477,-0.590537215
20,-0.611106873,-0.661060506,-0.254783165,-0.277021091
20.200000000000003,-0.631353114,-0.682826043,0.053050564435583106,0.060524363454687244
20.400000000000002,-0.590629239,-0.637722809,0.34989334167950925,0.38485185370353425
20.6,-0.494099393,-0.532246789,0.6062246595375278,0.6592921737467488
20.8,-0.352671542,-0.378909488,0.7948861658475247,0.8603962557019101
21,-0.181909106,-0.194050633,0.8975076016114449,0.9722198633208566
21.200000000000003,0.0001490288331104303,0.0033194437266390944,0.9077379146253884,0.984540513624164
21.400000000000002,0.17527884559620738,0.19314728731555236,0.8296256515587092,0.8980569618162012
21.6,0.32690819039031743,0.3568617926167807,0.6753833065100874,0.7266852361463951
21.8,0.44162546349483417,0.4797102425963327,0.46422570396476176,0.49377814579463686
22,0.5104369364188635,0.5521067372265998,0.2207272531362744,0.22689152687557404
22.200000000000003,0.529556984687873,0.5700887998500606,-0.02830905,-0.045456131
22.400000000000002,0.5003616022442401,0.5356107114711435,-0.258642747,-0.292936046
22.6,0.4288041463183809,0.45608856535904285,-0.448583414,-0.493122301
22.8,0.3247489360548483,0.34239659138075773,-0.581525868,-0.632916819
23,0.20053481637378118,0.20750989814528126,-0.64964764,-0.704085616
23.200000000000003,0.06917377310888803,0.06550390620891502,-0.653711749,-0.70445322
23.400000000000002,-0.057133465,-0.069988349,-0.600674495,-0.640849249
23.6,-0.168041668,-0.187538919,-0.501936646,-0.527903647
23.8,-0.255840323,-0.279066762,-0.372239755,-0.38369713
24,-0.315968781,-0.340129291,-0.22798884,-0.226089962
24.200000000000003,-0.347102883,-0.369715355,-0.084606551,-0.071677401
24.400000000000002,-0.350695804,-0.369993044,0.0456057626841267,0.06507879513205546
24.6,-0.33035884,-0.345426214,0.15349482028807918,0.1758579850017834
24.8,-0.291116098,-0.301620963,0.23427398138379157,0.25716909474675614
25,-0.238471633,-0.244547199,0.287831745559288,0.3087632401261172
25.200000000000003,-0.177583599,-0.179899153,0.3174369949420631,0.33371899060505583
25.400000000000002,-0.112769519,-0.112423276,0.3279616990994068,0.3382642855408556
25.6,-0.047321772,-0.045452855,0.3246281168192102,0.32986948159432716
25.8,0.016477273023329162,0.019078564293124878,0.31218371236531267,0.31468562171466063
26,0.07717767224999265,0.08019870144880677,0.2940547358879633,0.29606747421012225
26.200000000000003,0.13381115506796357,0.1373209534064736,0.27152031614810523,0.2746125789417396
26.400000000000002,0.18541893254083144,0.18975920013650244,0.24341973815103612,0.24883319818248767
26.6,0.23061057901443408,0.23635707454046795,0.20677354509329868,0.21554872042713008
26.8,0.267319995028026,0.2751809004934357,0.15802418994057224,0.17029539863097926
27,0.2928140005614869,0.3033782844790043,0.09423406785505155,0.10865616498227355
27.200000000000003,0.30391540706231673,0.31737994175522544,0.014055131217837694,0.02817875327933059
27.400000000000002,0.2974138201669256,0.3134400185447748,-0.081346,-0.07032416
27.6,0.27064931573040696,0.28833433111124784,-0.187545972,-0.182451271
27.8,0.22219090817835427,0.2400652509810819,-0.296720822,-0.300386826
28,0.15244552669262745,0.16855734465566322,-0.398582183,-0.412562793
28.200000000000003,0.06402524239614461,0.07635950803806187,-0.481405604,-0.504999946
28.400000000000002,-0.03801825,-0.031265758,-0.532807814,-0.564841294
28.6,-0.14627908,-0.146660254,-0.542061878,-0.581008074
28.8,-0.251564818,-0.260178292,-0.502311798,-0.544977301
29,-0.343800424,-0.360909678,-0.411693879,-0.453058891
