时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s),浮子角位移 θ1,振子角位移 θ2,浮子角速度 w1,振子角速度 w2
18,0.6356044895062429,0.6904128591913757,0.7883482882364159,0.8918470742029931,-0.013133442,-0.013806713,-0.046068252,-0.047026345
18.2,0.7496995209746458,0.8211936659500778,0.3416787878383385,0.403376156531312,-0.020363791,-0.021180601,-0.025744861,-0.026185276
18.400000000000002,0.769888058333714,0.8489059358116162,-0.14069238,-0.127811514,-0.02332282,-0.024165824,-0.003797331,-0.003622056
18.6,0.6950834697437998,0.7716797506649936,-0.598291555,-0.634981349,-0.021953108,-0.022703326,0.017099074571736587,0.017841652613667686
18.8,0.5360018926572786,0.6007108522228086,-0.974811115,-1.05559431,-0.016722969,-0.017276601,0.03441352454596714,0.035601571155064446
19,0.3136134313173827,0.3586257841165962,-1.22507504,-1.339061776,-0.008568328,-0.008861941,0.04603918701905584,0.047405408742336314
19.200000000000003,0.05634183605291568,0.07644828659827876,-1.320458567,-1.452832217,0.0012131211439368353,0.0011922090987019195,0.050499806692166235,0.05183350826784981
19.400000000000002,-0.203608588,-0.210421111,-1.252112778,-1.386077324,0.011109444014154453,0.01133734916707976,0.04715988708150482,0.04828310536464739
19.6,-0.434319548,-0.466685938,-1.031639326,-1.150570043,0.01957528545684189,0.01999608349349427,0.036324663760681566,0.03712770922337536
19.8,-0.608100228,-0.661522679,-0.689191348,-0.778711377,0.0252206041713317,0.02576997192096073,0.019237182416337605,0.01971492865282133
20,-0.704814387,-0.772293468,-0.269305763,-0.319025662,0.026989885414337316,0.027599832172137184,-0.002035826,-0.001903622
20.200000000000003,-0.714193653,-0.787155758,0.17495410331417122,0.1702416639750303,0.02430189896420905,0.024907710740254718,-0.024865465,-0.025036267
20.400000000000002,-0.636874088,-0.706271145,0.5887652202650016,0.628572725140513,0.017132122131756335,0.017671900157942393,-0.046373892,-0.046865514
20.6,-0.484060847,-0.541499895,0.9223511695092435,1.0007098725149792,0.006024243191395822,0.006435408151709914,-0.063819414,-0.064609204
20.8,-0.275899254,-0.314659946,1.1369777108695376,1.2433294811544264,-0.00797177,-0.007748075,-0.07493311,-0.076016655
21,-0.038789431,-0.05460589,1.2094158072626369,1.3300494018613074,-0.023424536,-0.02344202,-0.078211239,-0.079519246
21.200000000000003,0.19799359586144757,0.2064767628767593,1.1343624545632913,1.2541986206356779,-0.038693525,-0.038984553,-0.073081447,-0.074486138
21.400000000000002,0.4059379144354732,0.4370819539205437,0.9245840520968156,1.0290736620089729,-0.052121708,-0.05268896,-0.059951298,-0.061270173
21.6,0.5607355435047104,0.6101947110658434,0.6088367968459111,0.6857308984216157,-0.062226733,-0.063029405,-0.040135763,-0.041135852
21.8,0.6451108899504742,0.706442700877091,0.22789084178155872,0.2686715303174948,-0.06786534,-0.068820751,-0.015677129,-0.016178916
22,0.6507084315489169,0.7162211907977359,-0.170782401,-0.169984725,-0.068357065,-0.069352521,0.01088204607846288,0.010993538899474397
22.200000000000003,0.5788419736684391,0.6405666029433099,-0.538968303,-0.577057731,-0.063556867,-0.064469086,0.03677786536831542,0.037482685453610054
22.400000000000002,0.44005063908328756,0.49071341242829164,-0.833554502,-0.904773488,-0.053871401,-0.054594238,0.0593026621634518,0.060463718436536876
22.6,0.2525567981794294,0.2864339282766031,-1.021556414,-1.116347614,-0.040220023,-0.040680825,0.07608447385249437,0.0775062709756833
22.8,0.039851107828572783,0.05340513166448599,-1.083739168,-1.190039096,-0.023940383,-0.024109904,0.08535178729617786,0.08680767662365953
23,-0.172272632,-0.180043704,-1.016451933,-1.121237802,-0.006646678,-0.006536476,0.08614080213281373,0.08745906560431915
23.200000000000003,-0.358856231,-0.386387916,-0.831521084,-0.922412136,0.009947625551648787,0.010297150090209992,0.07843800583731887,0.07949621612392024
23.400000000000002,-0.49870533,-0.542144989,-0.554293021,-0.621009964,0.02422445052134866,0.02475390992663449,0.06320389253316097,0.06394108751540444
23.6,-0.57676618,-0.630514092,-0.22014069,-0.255648963,0.03484824180667823,0.035491496607217204,0.04227824703869586,0.042675621841562386
23.8,-0.585689018,-0.643125981,0.13008530615971414,0.12886924501698532,0.04092250831649024,0.041610168709680394,0.01816591549181838,0.01821377104708146
24,-0.526424817,-0.580731146,0.45506932942269795,0.4870758820064158,0.042092803872062656,0.042755823667317984,-0.006273304,-0.006567726
24.200000000000003,-0.40782467,-0.45278882,0.7178918461491969,0.7781991429471556,0.03858300847083525,0.03915279850696481,-0.028177409,-0.028812782
24.400000000000002,-0.245330414,-0.276051595,0.8901684002440342,0.9707464275795437,0.03115937525809116,0.031570616319548495,-0.045040562,-0.045982772
24.6,-0.058948796,-0.072355389,0.9550120623744078,1.04579870430725,0.021028248572865952,0.02122521086590072,-0.055011236,-0.056197221
24.8,0.12922342324848451,0.13409187580656992,0.9085270161964388,0.998690675045177,0.009682123522860206,0.0096272302388522,-0.0571057,-0.05841252
25,0.2976156611124809,0.3195845409736044,0.7597288746947355,0.8389595177910824,-0.001285248,-0.00159971,-0.051300064,-0.052558623
25.200000000000003,0.42763236368533375,0.46361602782194167,0.528980184875964,0.5886530979464321,-0.010370243,-0.010915701,-0.038506753,-0.039525531
25.400000000000002,0.5056607680796826,0.5510958257496535,0.24519341308722611,0.2792817682490061,-0.016335386,-0.017045387,-0.020444976,-0.02104688
25.6,0.5244268001628578,0.5738542593432132,-0.057808125,-0.052171786,-0.018350494,-0.019129615,0.0005716431481323342,0.0004928681963046883
25.8,0.4835772478733088,0.5312983470144947,-0.345317434,-0.367667877,-0.01608608,-0.01682641,0.021896727426339815,0.022358005574286393
26,0.38945774037829056,0.4301851033393343,-0.58567661,-0.632431414,-0.009750837,-0.01035105,0.040844914086967846,0.04176326391529827
26.200000000000003,0.2541506361374364,0.2835813073294828,-0.753678712,-0.818692984,-6.97E-05,-0.00045318,0.054987117501029206,0.05620697536072036
26.400000000000002,0.09391596738642027,0.10916622345459437,-0.833085723,-0.908463015,0.01179547955105063,0.01167091318970791,0.062427163096172515,0.06376477842625503
26.6,-0.072762517,-0.072901236,-0.818032407,-0.895083714,0.024376775425460184,0.024516312748960538,0.06203238452566315,0.06330859587332101
26.8,-0.227291671,-0.242293868,-0.713223121,-0.783458351,0.03606938232534708,0.03644612292034688,0.05358457314774892,0.05466113766418516
27,-0.353004892,-0.380744111,-0.532969039,-0.589008952,0.04532155523978264,0.045885284864410084,0.03783133811711687,0.038612089555439315
27.200000000000003,-0.436902766,-0.47395123,-0.299235131,-0.33555053,0.0508228921315289,0.05150836170629359,0.01641687015165135,0.016848000082850458
27.400000000000002,-0.470925587,-0.512978288,-0.038964549,-0.052372595,0.05166708057159702,0.05240175078765939,-0.008301203,-0.008242857
27.6,-0.452645354,-0.495016092,0.21899637378475872,0.2291120239170248,0.04746811208652045,0.04817660175202639,-0.033530527,-0.033849319
27.8,-0.385331734,-0.423464774,0.44702489731044504,0.4787760187306116,0.0384139196060708,0.03902228104406888,-0.056382682,-0.057060931
28,-0.277415066,-0.307358233,0.6215738859002423,0.6708849987003082,0.025250419996095414,0.025690085670207335,-0.074223575,-0.075223102
28.200000000000003,-0.141430103,-0.160222878,0.7254714099354755,0.7866022983332241,0.009197813643899048,0.009411378199560776,-0.084992149,-0.086237859
28.400000000000002,0.007427250342509784,0.001485205950891317,0.749464946906797,0.8156718243851092,-0.008189663,-0.008240798,-0.087441336,-0.08882043
28.6,0.15296625190105578,0.1601864243664346,0.6928962373058405,0.757156349810985,-0.025202271,-0.02553012,-0.081276637,-0.082636328
28.8,0.27971306706886945,0.2990344194589442,0.5634851073322118,0.6192094319352419,-0.040169265,-0.040752558,-0.067175848,-0.068341354
29,0.3744951060437429,0.4036360866928188,0.37628613057693033,0.4179558742579661,-0.051645785,-0.052428675,-0.04669604,-0.047500732
29.200000000000003,0.427744752607613,0.4634701668390815,0.15195992308196804,0.17562766846378214,-0.058571315,-0.059467895,-0.022085272,-0.022401799
29.400000000000002,0.43440492835351247,0.47287633809335594,-0.085448336,-0.081828088,-0.060382854,-0.061288857,0.003976541803569465,0.0042004454337565954
29.6,0.39435989922766984,0.4315333371089155,-0.310993675,-0.327423955,-0.057072023,-0.057881189,0.028674365589224753,0.029406378456552293
29.8,0.31236307739266655,0.34439523292158564,-0.501336366,-0.535832265,-0.049181187,-0.049802023,0.04936659319662758,0.05049302216573962
30,0.19748118523338376,0.22110638069809732,-0.637036142,-0.685859324,-0.037739308,-0.038109242,0.06387378295341303,0.06522576205164211
30.200000000000003,0.062118336725121126,0.07496252792629313,-0.704428087,-0.762476195,-0.024144261,-0.02423682,0.07072179685971655,0.07211243486599445
30.400000000000002,-0.079279333,-0.078474657,-0.696918414,-0.758229477,-0.010003144,-0.009828506,0.06931370232264945,0.07056896276249004
30.6,-0.211710698,-0.222973269,-0.615588744,-0.673916964,0.0030525154516410327,0.003453243168437166,0.06000630633995754,0.06099380145855159
30.8,-0.321153158,-0.343283103,-0.469059339,-0.518473099,0.013556341309489838,0.014120208635400852,0.044079721552186715,0.044713264855240305
31,-0.395996003,-0.42668627,-0.272627819,-0.308076352,0.020379226935133388,0.021030896322824594,0.023593733243277494,0.023835727607389084
31.200000000000003,-0.428234624,-0.464297885,-0.046757608,-0.064561674,0.02286260350013767,0.023523210695112477,0.0011469063978490485,0.0009964032782870582
31.400000000000002,-0.414308333,-0.451990482,0.18494659546575867,0.18672613105603436,0.02089580772365396,0.021489063052981462,-0.020436698,-0.020952905
