时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s)
89.72774447953711,0.4288861796373299,0.4547379933512114,0.027822204319844134,0.03549559306195899
89.81756204157868,0.4280304251231505,0.4543690541469277,-0.04682832397814822,-0.04367252020565336
89.90737960362027,0.4205002274150618,0.4469180143066708,-0.12060890535208656,-0.1220015253538791
89.99719716566185,0.4064248798464112,0.4325144965761878,-0.1923846528774212,-0.19828778435053435
90.08701472770342,0.38603419971081626,0.4113947730130412,-0.2610549152256204,-0.2713629408712238
90.17683228974501,0.35965470367122176,0.3838978245701681,-0.325569770605648,-0.34011120176367915
90.26664985178658,0.3277043505557844,0.3504598551507457,-0.38494556924335066,-0.40348590805739537
90.35646741382816,0.2906859285758123,0.3116073731608661,-0.43827934202042373,-0.46052514989335386
90.44628497586974,0.24917920360646192,0.26794896159904286,-0.4847620252135794,-0.510365908183463
90.53610253791132,0.2038319350098479,0.22016585798926877,-0.5236905107300318,-0.552256247254651
90.62592009995289,0.15534982561589544,0.1690014251322158,-0.5544783600701493,-0.585565470415743
90.71573766199447,0.10448578186922299,0.11524973159212712,-0.5766631886336754,-0.6097949736258931
90.80555522403606,0.052028496896930884,0.05974354353231514,-0.5899133289713813,-0.6245852849437027
90.89537278607763,-0.0012098733107238635,0.0033415601107589926,-0.5940344620002811,-0.6297182453197809
90.9851903481192,-0.0544058095585719,-0.053084592941949164,-0.5889699253418176,-0.6251238513229769
91.07500791016079,-0.10673692802341701,-0.10866357673304022,-0.5748025886638496,-0.6108789869903607
91.16482547220237,-0.15739451922528966,-0.16253750846675702,-0.5517535691843125,-0.58720616936626
91.25464303424394,-0.2055958143629239,-0.21387496549233465,-0.5201786952279654,-0.5544704341311798
91.34446059628553,-0.25059597487675644,-0.26188353346085,-0.48056246831074223,-0.5131753126746917
91.4342781583271,-0.29169906768884996,-0.30582180953261107,-0.4335123723249391,-0.4639520617605897
91.52409572036868,-0.3282689169386218,-0.3450106500695532,-0.37974870748343875,-0.40755289292780716
91.61391328241027,-0.3597387576592161,-0.37884349902859327,-0.32009381517503693,-0.34483983257697093
91.70373084445184,-0.3856198316884406,-0.4067956154230185,-0.2554602903989003,-0.27677115082424497
91.79354840649341,-0.4055088845058725,-0.42843209178925057,-0.18683763597212438,-0.20438688046120096
91.883365968535,-0.41909442699828353,-0.4434145800755613,-0.11527726521241924,-0.12879390692953477
91.97318353057658,-0.4261616037936433,-0.45150655594181743,-0.041876755498376564,-0.051149697060181194
92.06300109261815,-0.42659560908882593,-0.4525770719265672,0.03223645771581658,0.02735512009780397
92.15281865465974,-0.42038360617515413,-0.44660295940652245,0.10592207028204421,0.10551442339786618
92.24263621670131,-0.40761512309452813,-0.43366936581489346,0.17804381053229462,0.18212511294261294
92.33245377874289,-0.388480914315571,-0.4139687022511644,0.24748682209968031,0.25600484490424413
92.42227134078446,-0.3632702682265078,-0.38779797795813725,0.3131745997079018,0.32600998592553015
92.51208890282605,-0.3323668204277761,-0.35555452810250604,0.3740854830510709,0.39105296898486364
92.60190646486762,-0.2962429272625675,-0.31773019993613894,0.42926829149237306,0.4501191080481977
92.6917240269092,-0.25545266218872753,-0.2749040903186378,0.47785687941626065,0.502282662070265
92.78154158895079,-0.21062356070876848,-0.22773395289102857,0.5190837666738237,0.5467211236966592
92.87135915099236,-0.16244716368518092,-0.17694635366379066,0.5522927818488572,0.5827274370298826
92.96117671303394,-0.11166850715894774,-0.12332564897694101,0.5769496762829337,0.6097212959510027
93.05099427507552,-0.059074997936252746,-0.06770215679150765,0.5926491304660713,0.6272614068248491
93.1408118371171,-0.005484263345850879,-0.010939580405354157,0.5991239605096307,0.6350491280330308
